Konuşma,Kategori,Alt Kategori,Müşterinin İsteği (özet),Çözüldü mü?,Çözüm Yöntemi,Bot Yapabilir mi?,Neden / Ne Gerekir?
K49,BONUS_TALEP,Bonus talebi,Bonus istiyor,BELIRSIZ,Agent kontrol ediyor,HAYIR,Hesap kontrolü gerekiyor
K50,WITHDRAWAL_LIMIT,Çekim limiti açıklaması,Neden 802€ yerine 552€ çekebildi?,EVET,Bonus kuralları (10x depozito max cash out) açıklandı; kalan 250€ çekilebilir,KISMI,Bot kural açıklayabilir; hesap kontrolü agent gerektirir
K51,WITHDRAWAL_BEKLEYEN,Çekim durumu + ödeme sorgusu,"300€ çekim yapıldı, bugün işlenecek mi? Hizmet ücretli mi?",KISMI,Finans ekibiyle iletişim kuruldu; ücretsiz olduğu söylendi,HAYIR,Çekim takibi backoffice gerektirir
K52,CASHBACK,VIP cashback + agent iletişimi,Daniel'ın vaat ettiği %40 cashback; Lars/Malia ile görüşme talebi,KISMI,Cuma cashback bilgisi verildi; Lars'a mesaj iletildi,HAYIR,Discretionary cashback ve VIP agent gerektirir
K53,HESAP,Bakiye düşümü açıklaması,200€ bakiye neden silindi? Bonus depozitosundan kazanç kuralları,EVET,Bonus kuralı nedeniyle 200€ düşüldüğü açıklandı,KISMI,Bot bonus kurallarını açıklayabilir; hesap detayı agent gerektirir
K54,BONUS_SORUN,Free spin erişim sorunu,Cursed Sea free spin açılmıyor,EVET,Farklı oyuna (Lion Gem's) 20 free spin verildi,KISMI,Cache temizliği bot açıklayabilir; oyun değiştirme agent gerektirir
K55,BONUS_TALEP,Depozito sonrası bonus,"Çok depozito, 50-100€ bonus talebi",BELIRSIZ,Agent kontrol edecek,HAYIR,Hesap kontrolü gerekiyor
K56,BONUS_TALEP,Uygulama/affiliate bonusu,Uygulama kurulumu/affiliate için free spin almadı,EVET,20 free spin verildi,HAYIR,Bonus kredileme agent aksiyonu
K57,HESAP,Hesap kapatma talebi,Bonusların az ödediğinden şikayet; hesap kapatmak istiyor,KISMI,"Agent özür diledi, yeni bonus önerdi; hesap kapatma net olmadı",HAYIR,Hesap kapatma + bonus kararı agent/backoffice gerektirir
K58,BONUS_TALEP,Bonus talebi,Bonus istiyor,BELIRSIZ,Agent kontrol edecek,HAYIR,Hesap kontrolü gerekiyor
K59,BONUS_SORUN,Çekim tutarı uyuşmazlığı,"50€ çekmek istedi, 41€ çekebiliyor; bonus çevrim durumu",EVET,Aktif bonus ve çevrim koşulları açıklandı,KISMI,Bot bonus/çevrim açıklayabilir; hesap detayı agent gerektirir
K60,BONUS_SORUN,Free spin kazanç çekim kuralı,"20 free spin ile 150€ kazandı, çevrim tamamlandı, tümünü çekebilir mi?",EVET,30€ çekilebilir olduğu söylendi; kazanç kuralları açıklandı,KISMI,Bot kuralları açıklayabilir; tutar doğrulama agent gerektirir
K61,HESAP,Hesap silme,Hesabını silmek istiyor,BELIRSIZ,Agent karşıladı,HAYIR,Hesap silme backoffice işlemi
K62,BONUS_TALEP,Wagering olmadan bonus,Happy Hour 70 free spin var; wagering olmadan bonus istiyor,KISMI,Kontrol edildi,HAYIR,Discretionary karar agent gerektirir
K63,BONUS_TALEP,Büyük depozito sonrası bonus,680€ yatırım için iyi bonus talebi,EVET,50€ bonus verildi,HAYIR,Bonus verme agent aksiyonu
K64,BONUS_TALEP,Depozitosuzsuz bonus,Depozitosuzsuz bonus istiyor,HAYIR,Sistem bonus veremedi,KISMI,Bot uygunluk kurallarını açıklayabilir
K65,VIP,VIP agent iletişimi,Daniel ile görüşmek istiyor,BELIRSIZ,Agent kontrol ediyor,HAYIR,VIP agent koordinasyonu gerekiyor
K66,WITHDRAWAL_BEKLEYEN,Çekim bekliyor,Çekim talebi hâlâ beklemede,BELIRSIZ,Agent karşıladı,HAYIR,Çekim durumu backoffice kontrolü gerekiyor
K67,BONUS_SORUN,Bonus aktivasyonu,%150'ye kadar 1500€ bonus aktive olmadı,KISMI,"Ekran görüntüsü istendi (agent Esperanto yazdı, iletişim sorunu)",HAYIR,Bonus aktivasyonu ve doğrulama agent gerektirir
K68,BONUS_SORUN,Free spin erişim sorunu,The Bandit oyununda bonus oynayamadı,BELIRSIZ,Agent kontrol edecek,HAYIR,Bonus ve oyun erişimi agent gerektirir
K69,BONUS_TALEP,Bonus uygunluğu,Bonus hakkı var mı?,BELIRSIZ,Agent karşıladı,HAYIR,Hesap kontrolü gerekiyor
K70,HESAP,Çoklu hesap - bonus ihlali,"150€ kazancını çekemedi, bakiye sıfırlandı; multi-hesap tespiti",HAYIR,Çoklu hesap ve bonus ihlali nedeniyle işlem yapılamadı,HAYIR,Compliance/backoffice kararı gerekiyor
K71,HESAP,Hesap kilit açma,"Hesabı kilitli, açılmasını istiyor",BELIRSIZ,Agent karşıladı,HAYIR,Hesap kilit açma backoffice işlemi
K72,BONUS_TALEP,Wagering olmadan free spin,Gates of Olympus Super Scatter'da çevrimsiz free spin talebi,BELIRSIZ,Agent karşıladı,HAYIR,Discretionary karar agent gerektirir
K73,BONUS_SORUN,Free spin erişim sorunu,Cursed Sea 50 free spin oyunu açılmıyor,KISMI,Cache temizliği önerildi,KISMI,Cache temizliği bot açıklayabilir; bonus erişimi agent gerektirir
K74,BONUS_TALEP,Nakit bonus talebi,Nakit bonus istiyor,HAYIR,Nakit bonus şu an mevcut değil,KISMI,Bot kural açıklayabilir
K75,WITHDRAWAL_BEKLEYEN,Acil çekim talebi,Çekiminin acil işlenmesini istiyor,KISMI,"Ekibe iletildi, garanti yok",HAYIR,Çekim hızlandırma backoffice gerektirir
K76,KYC,Hesap doğrulama durumu,Hesabının doğrulandığını belgelemek istiyor,EVET,Hesabın doğrulandığı onaylandı,HAYIR,KYC durumu agent/backoffice kontrolü
K77,BONUS_TALEP,Bonus uygunluğu,Bonus hakkı var mı?,HAYIR,"Aktivite yetersiz, bonus verilemedi",KISMI,Bot koşulları açıklayabilir
K78,BONUS_TALEP,Doğum günü bonusu,Casino erişim sorunundan dolayı kaçırdığı doğum günü bonusu,BELIRSIZ,Agent karşıladı,HAYIR,Hesap ve kampanya kontrolü agent gerektirir
K79,BONUS_TALEP,Depozitosuzsuz bonus,Depozitosuzsuz bonus istiyor,BELIRSIZ,Agent kontrol ediyor,HAYIR,Hesap kontrolü gerekiyor
K80,HESAP,Hesap kilit açma + çekim,"24 saatlik duraklama bitti, hesap açılsın; çekim durumu",EVET,Hesap açıldı; çekim 24 saat içinde işlenecek,HAYIR,Hesap açma ve çekim durumu backoffice gerektirir
K81,WITHDRAWAL_BEKLEYEN,Çekim gecikme şikayeti,"Çekimleri zamanında işlenmiyor, sadık müşteri",KISMI,"Agent anlayış gösterdi, çözüm taahhüt edilemedi",HAYIR,Çekim gecikme incelemesi backoffice gerektirir
K82,BONUS_TALEP,Cashback + depozitosuzsuz bonus,Cashback sorgusu ve depozitosuzsuz bonus talebi,EVET,Cashback yok; bonus kontrol edildi,HAYIR,Hesap kontrolü agent gerektirir
K83,BONUS_TALEP,Depozitosuzsuz bonus,Depozitosuzsuz bonus hakkı olduğunu düşünüyor,BELIRSIZ,Agent kontrol edecek,HAYIR,Hesap kontrolü gerekiyor
K84,TEKNIK,Ödeme yöntemi sorunu,Kart limiti doldu; çekim yerine ödeme olarak görüntüleniyor,KISMI,Agent teknik detayları araştırdı,HAYIR,Ödeme altyapısı teknik inceleme gerekiyor
K85,WITHDRAWAL_BEKLEYEN,VIP acil çekim,"VIP müşteri, çekiminin acil işlenmesini istiyor",KISMI,Ödeme ekibine iletildi,HAYIR,VIP çekim önceliklendirme backoffice gerektirir
K86,BONUS_TALEP,Kayıp sonrası bonus/free spin,"Dün kaybetti, bonus veya cashback istiyor",HAYIR,Minimum 100€ aktivite koşulu sağlanmamış,KISMI,Bot aktivite koşulunu açıklayabilir
K87,BONUS_TALEP,Depozito sonrası bonus,250€ yatırım için bonus talebi,EVET,"Bonus verildi, önceki bonus hesaba katıldı açıklandı",HAYIR,Bonus hesaplama agent açıklaması gerekiyor
K88,HESAP,Bakiye düşümü açıklaması,"1436€ bakiye neden 216€'ya düştü, işlem geçmişinde ""balance correction""",KISMI,Uzmana transfer edildi,HAYIR,Backoffice inceleme gerekiyor
K89,BONUS_TALEP,Büyük bonus talebi,"700€ yatırdı, daha büyük bonus istiyor",EVET,"50€, 10x, 500€ max bonus verildi",HAYIR,Bonus verme agent aksiyonu
K90,BONUS_TALEP,Bonus talebi,Bonus istiyor,BELIRSIZ,Agent karşıladı,HAYIR,Hesap kontrolü gerekiyor
K91,VIP,VIP agent iletişimi,VIP agent ile iletişim/telefon numarası soruyor,EVET,Telegram VIP'e bağlandı,HAYIR,VIP agent koordinasyonu gerekiyor
K92,BONUS_TALEP,Kayıp sonrası büyük bonus,"200€+ yatırım, büyük bonus istiyor",KISMI,"Son bonus yakın, agent tekrar kontrol etti",HAYIR,Hesap aktivite kontrolü agent gerektirir
K93,BONUS_TALEP,Depozito sonrası bonus,Depozitolar için 20-50€ bonus talebi,HAYIR,Nakit bonus için uygun değil,KISMI,Bot uygunluk koşullarını açıklayabilir
K94,TEKNIK,Depozito ödeme yöntemi sorunu,Depozito çekim olarak görünmesi gerekiyor (kart limiti aşımı),EVET,Müşteri kendi halletti,KISMI,Bot genel öneride bulunabilir; çözüm kullanıcı tarafından bulundu
K95,BONUS_TALEP,Bonus talebi,Bonus istiyor,BELIRSIZ,Agent kontrol ediyor,HAYIR,Hesap kontrolü gerekiyor
K96,WITHDRAWAL_BEKLEYEN,Çekim durumu,Çekim hâlâ beklemede,EVET,İşleme alındığı görüldü,HAYIR,Çekim durumu backoffice kontrolü gerekiyor
K97,BONUS_TALEP,Ticari jest,Depozitolar için jest/bonus istiyor,BELIRSIZ,Agent karşıladı,HAYIR,Hesap kontrolü gerekiyor
K98,CASHBACK,Cashback bilgisi + bonus,Cashback miktarı ve bonus uygunluğu sorgusu,EVET,Cuma cashback bilgisi verildi; çekim beklerken bonus verilemez açıklandı,KISMI,Bot cashback açıklayabilir; bonus verme agent gerektirir
K99,BONUS_TALEP,Bonus uygunluğu,Herhangi bir bonusu var mı?,EVET,"15€ bonus, 15x, 150€ max verildi",HAYIR,Bonus verme agent aksiyonu
K100,WITHDRAWAL_BEKLEYEN,Çekim hızlandırma + cashback,Çekimin hızlandırılması ve cashback miktarı sorgusu,KISMI,Çekim ekibine iletildi; cashback cuma açıklandı,HAYIR,Çekim hızlandırma backoffice gerektirir
K101,BONUS_TALEP,Büyük/çevrimsiz bonus talebi,"300€ çevrimsiz bonus istiyor, 20€ teklifi reddetti",KISMI,"50€, 10x bonus önerildi; müşteri vazgeçti",HAYIR,Discretionary karar agent gerektirir
K102,BONUS_SORUN,Bonus kazanç açıklaması,45€ bonus düşümü görüyor ama sadece 26€ aldı,EVET,"Bonus tamamlandı, 45€ bonus bakiyesinden gerçek bakiyeye aktarıldı sonra kaybedildi",KISMI,Bot bonus mekanizmasını açıklayabilir
K103,WITHDRAWAL_BEKLEYEN,Çekim durumu (1300€+500€),"İki çekim beklemede, tatil öncesi işlenmesini istiyor",KISMI,"Ekibe iletildi, beklemede durumu onaylandı",HAYIR,Çekim önceliklendirme backoffice gerektirir
K105,WITHDRAWAL_BEKLEYEN,İptal Edilemeyen Çekim,200€ çekim talebini iptal etmek istiyor ama sistem donuyor,HAYIR,Teknik ekibe iletildi,HAYIR,Çekim iptali sistem tarafında müdahale gerektirir
K106,TEKNIK,Hesap Erişim Hatası,"Hesabında hata mesajı alıyor, genel sorun olup olmadığını soruyor",HAYIR,Üst yöneticiye (Daniel) bağlanmaya çalışıldı,HAYIR,Teknik sorun tespiti ve yönetici müdahalesi gerekir
K107,BONUS_SORUN,Free Spin Oyun Adı,Verilen ücretsiz çevirimlerin hangi oyuna ait olduğunu bilmiyor,KISMI,"Oyunlar için hesap incelendi, net yanıt verilmedi",KISMI,Hesap üzerinden aktif bonus oyun adı bilgisi sorgulanabilir
K108,BONUS_TALEP,Depozitsiz Bonus,Depozitsiz bonus talep ediyor,HAYIR,Yanıt verilmedi,KISMI,Uygunluk kontrolü yapılabilir ancak bonus verme kararı insana ait
K109,BONUS_TALEP,Genel Bonus Talebi,Bonus talep ediyor,HAYIR,Yanıt verilmedi,KISMI,Uygunluk kontrolü yapılabilir ancak bonus verme kararı insana ait
K110,BONUS_TALEP,Genel Bonus Talebi,Bonus talep ediyor,HAYIR,Yanıt verilmedi,KISMI,Uygunluk kontrolü yapılabilir ancak bonus verme kararı insana ait
K111,BONUS_TALEP,Wagersiz Free Spin,Gates of Olympus Super Scatter'da wagersiz ücretsiz çevirim talep ediyor,KISMI,VIP ekibine yönlendirildi,KISMI,VIP yönlendirmesi bot yapabilir; bonus verme kararı insana ait
K112,BONUS_SORUN,Bonus İptali,21€ bonusun kaldırılmasını istiyor,EVET,Bonus kaldırıldı (ima ediliyor),KISMI,Bonus iptali sistem erişimi gerektirir
K113,BILGI_SORUSU,Ödeme Yöntemi,Paysafecard ile para yatırılıp yatırılamayacağını soruyor,EVET,Şu an kullanılamadığı bilgisi verildi,EVET,Mevcut ödeme yöntemleri bilgisi bot tarafından sağlanabilir
K114,TEKNIK,Kayıp Para/Yatırım,30€ yatırdı ama hesabına geçmedi,HAYIR,Hesap incelemeye alındı,HAYIR,Ödeme kaydı kontrolü ve iade işlemi insan müdahalesi gerektirir
K115,BONUS_TALEP,Genel Bonus Talebi,Bonus talep ediyor,HAYIR,"Hesap inceleniyor, sonuç belirtilmedi",KISMI,Uygunluk kontrolü bot yapabilir; bonus verme kararı insana ait
K116,BONUS_SORUN,E-posta ile Vaat Edilen Bonus,E-posta ile bildirilen 30€ bonus hesabına yansımamış,EVET,"Ekran görüntüsü istendi, bonus kredilendirildi",KISMI,Doğrulama adımı bot yapabilir; kredi işlemi insan onayı gerektirir
K117,BONUS_TALEP,Genel Bonus Talebi,Bonus talep ediyor,HAYIR,"Hesap inceleniyor, sonuç belirtilmedi",KISMI,Uygunluk kontrolü bot yapabilir; bonus verme kararı insana ait
K118,HESAP,Hesap Açma,Kapalı hesabının açılmasını istiyor,HAYIR,"Teşekkür edildi, sonuç belirtilmedi",HAYIR,Hesap açma işlemi sorumluluk beyanı ve insan onayı gerektirir
K119,BONUS_TALEP,Depozit Öncesi Bonus,Depozit yapmadan önce bonus talep ediyor,HAYIR,"Hesap inceleniyor, sonuç belirtilmedi",KISMI,Uygunluk kontrolü bot yapabilir; bonus verme kararı insana ait
K120,BONUS_TALEP,Wagersiz Yüksek Bonus,"300€ wagersiz bonus talep ediyor, kabul etmeyince hesap kapatmak istiyor",KISMI,"50€ 10x wagering bonus teklif edildi, müşteri reddetti ama yine de kredilendi",HAYIR,Müzakere ve özel bonus kararı insan gerektirir
K121,BONUS_TALEP,Doğum Günü Bonusu,Doğum günü için ücretsiz çevirim talep ediyor,HAYIR,Doğum günü gelmeden verilemeyeceği söylendi,EVET,Bot doğum günü tarihini kontrol edip politikayı açıklayabilir
K122,TEKNIK,Bakiye Kaybı,"Oyun sırasında bakiyesi düştü, sebep soruyor",HAYIR,Yanıt verilmedi,HAYIR,Bakiye geçmişi incelemesi insan müdahalesi gerektirir
K123,TEKNIK,Para Yatırma Sorunu,"Para yatıramıyor, site sorunu olup olmadığını soruyor",EVET,Teknik ekibin çalıştığı bilgisi verildi,KISMI,Bot genel sistem durumu bilgisi verebilir
K124,TEKNIK,Genel Teknik Sorun Takibi,Teknik sorunla ilgili güncelleme ve yöneticiyle görüşme talep ediyor,KISMI,"Teknik ekibin çalıştığı iletildi, yönetici bilgilendirildi",HAYIR,Üst yönetici koordinasyonu insan gerektirir
K125,BONUS_TALEP,Bonus Uygunluk Sorgusu,Bonus hakkı olup olmadığını soruyor,HAYIR,Yanıt verilmedi,KISMI,Uygunluk kontrolü bot yapabilir; bonus verme kararı insana ait
K126,BONUS_TALEP,Genel Bonus Talebi,85€ bonus alındı; ayrıca yeni bonus talep ediyor,EVET,85€ bonus 20x wagering ile kredilendi,KISMI,Uygunluk kontrolü bot yapabilir; bonus verme kararı insana ait
K127,BILGI_SORUSU,Çekim Süresi,Çekiminin ne zaman işleneceğini soruyor,EVET,"24 iş günü içinde işleneceği, hesabın doğrulanmış olması gerektiği açıklandı",EVET,Bot standart çekim süresi bilgisi verebilir
K128,BONUS_TALEP,Free Spin + Depozit Öncesi Bonus,Belirli oyun için free spin ve depozit öncesi bonus talep ediyor,KISMI,"50 free spin 5x wagering ile verildi, ikinci talep inceleniyor",KISMI,Uygunluk kontrolü bot yapabilir; oyun belirleme ve kredi işlemi insan gerektirir
K129,HESAP,Hesap Kapatma + Bonus Talebi,Hesabını kapatmak istiyor; bonus talebi var,KISMI,"30€ bonus 5x wagering ile verildi, hesap kapatma süreci başlatıldı",HAYIR,Hesap kapatma ve özel bonus müzakeresi insan gerektirir
K130,BILGI_SORUSU,Ortaklık İletişim Bilgisi,Potansiyel ortaklık için iletişim bilgisi istiyor,HAYIR,Yanıt verilmedi,EVET,Bot ortaklık e-posta/telegram bilgilerini paylaşabilir
K131,KYC,Belge Doğrulama,KYC belgelerinin iletilip iletilmediğini ve doğrulanıp doğrulanmadığını soruyor,KISMI,"Belge alındı, çekim için tatil/hafta sonu kısıtlaması belirtildi",KISMI,Bot belge durumu sorgulayabilir; inceleme insan gerektirir
K132,BONUS_TALEP,Free Spin + Depozitsiz Bonus,Belirli oyun için free spin ve 100 depozitsiz free spin talep ediyor,KISMI,50 free spin 5x wagering ile verildi,KISMI,Uygunluk kontrolü bot yapabilir; bonus verme kararı insana ait
K133,BONUS_TALEP,Depozitsiz Bonus Uygunluğu,Depozitsiz bonus hakkı olup olmadığını soruyor,HAYIR,"Hesap inceleniyor, sonuç belirtilmedi",KISMI,Uygunluk kontrolü bot yapabilir; karar insana ait
K134,CASHBACK,Cashback Alınmama Nedeni,Cuma günü cashback alamadığını soruyor,EVET,Cuma'nın henüz gelmediği açıklandı (gün karışıklığı giderildi),EVET,Bot cashback takvimi ve koşullarını açıklayabilir
K135,BONUS_TALEP,Depozit Sonrası Bonus,Depozitlerine karşılık bonus talep ediyor,HAYIR,"Hesap inceleniyor, sonuç belirtilmedi",KISMI,Uygunluk kontrolü bot yapabilir; bonus verme kararı insana ait
K136,HESAP,Hesap Açma + Bonus Talebi,Hesabının açılmasını ve küçük bonus talep ediyor,HAYIR,"Hesap açma için karşılama yapıldı, sonuç belirtilmedi",HAYIR,Hesap açma ve bonus değerlendirmesi insan gerektirir
